country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Afghanistan,Asia,2016,4.22,7.65,52.925,0.523,0.793,34636207
Uganda,Africa,2016,4.233,7.667,56.775,0.739,0.811,38748299
Niger,Africa,2016,4.235,7.042,54.45,0.702,0.814,20921743
Chad,Africa,2019,4.251,7.354,52,0.537,0.832,16126866
Nigeria,Africa,2019,4.266,8.532,54.4,0.746,0.873,203304492
Iran,Asia,2018,4.278,9.591,66.15,0.603,0.703,85617562
Mozambique,Africa,2017,4.28,7.16,49.5,0.823,0.682,28569441
Armenia,Asia,2017,4.288,9.434,66.55,0.614,0.865,2851923
Ethiopia,Africa,2016,4.298,7.531,58.7,0.744,0.703,105293228
Sierra Leone,Africa,2018,4.306,7.384,52.1,0.716,0.856,7861281
Bangladesh,Asia,2017,4.31,8.483,64.05,0.896,0.635,161793964
Rep Congo,Africa,2017,4.311,6.931,53.25,0.704,0.809,5312340
Ukraine,Europe,2017,4.311,9.381,64.05,0.599,0.937,44831135
Mauritania,Africa,2018,4.314,8.588,59.575,0.467,0.711,4270712
Tunisia,Africa,2019,4.315,9.315,66.9,0.659,0.889,12049314
Uganda,Africa,2018,4.322,7.69,57.725,0.729,0.856,41515395
Armenia,Asia,2016,4.325,9.357,66.275,0.611,0.921,2865835
Egypt,Africa,2019,4.328,9.322,63,0.774,NA,105618671
Sri Lanka,Asia,2017,4.331,9.517,66.8,0.827,0.844,21506813
Madagascar,Africa,2019,4.339,7.369,57.3,0.55,0.72,27533134
Zambia,Africa,2016,4.348,8.127,53.125,0.812,0.771,16767761
Togo,Africa,2017,4.361,7.587,55.2,0.717,0.726,7852795
Ethiopia,Africa,2018,4.379,7.634,59.5,0.74,0.799,111129438
Eswatini,Africa,2019,4.396,9.048,50.1,0.597,0.724,1169613
Kenya,Africa,2016,4.396,8.353,56.5,0.749,0.828,47894670
Myanmar,Asia,2018,4.411,8.424,60.575,0.906,0.647,52666014
Iraq,Asia,2016,4.413,9.25,61.275,0.666,0.799,38697943
Mali,Africa,2018,4.416,7.69,54.2,0.737,0.793,19934298
Liberia,Africa,2017,4.424,7.335,53.7,0.733,0.867,4796631
Myanmar,Asia,2019,4.434,8.483,60.9,0.899,0.682,53040212
